0, 0 1 0 0. 1. 0.;
1, 0 1 1 1. 1. 1.;
2, 0 1 2 2. 1. 2.;
3, 0 1 3 3. 1. 3.;
4, 0 1 4 4. 1. 4.;
5, 0 1 5 5. 1. 5.;
6, 0 1 6 6. 1. 6.;
7, 0 1 7 7. 1. 7.;
8, 0 1 8 8. 1. 8.;
9, 0 1 9 9. 1. 9.;
10, 0 1 10 10. 1. 10.000001;
11, 0 1 11 11. 1. 11.000001;
12, 0 1 12 12. 1. 12.000001;
13, 0 1 13 13. 1. 13.000001;
14, 0 1 14 14. 1. 14.000001;
15, 0 1 15 15. 1. 15.000001;
16, 0 1 16 16. 1. 16.;
17, 0 1 17 17. 1. 17.;
18, 0 1 18 18. 1. 18.;
19, 0 1 19 19. 1. 19.000002;
20, 0 1 20 20. 1. 20.000002;
21, 0 1 21 21. 1. 21.000002;
22, 0 1 22 22. 1. 22.000002;
23, 0 1 23 23. 1. 23.000002;
24, 0 1 24 24. 1. 24.000002;
25, 0 1 25 25. 1. 25.000002;
26, 0 1 26 26. 1. 26.000002;
27, 0 1 27 27. 1. 27.000002;
28, 0 1 28 28. 1. 28.000002;
29, 0 1 29 29. 1. 29.000002;
30, 0 1 30 30. 1. 30.000002;
31, 0 1 31 31. 1. 31.000002;
32, 0 1 32 32. 1.000004 32.;
33, 0 1 33 33. 0.999997 33.;
34, 0 1 34 34. 0.999997 34.;
35, 0 1 35 35. 0.999997 35.;
36, 0 1 36 36. 0.999997 36.;
37, 0 1 37 37. 0.999997 37.000004;
38, 0 1 38 38. 0.999997 38.000004;
39, 0 1 39 39. 0.999997 39.000004;
40, 0 1 40 40. 0.999997 40.000004;
41, 0 1 41 41. 0.999997 41.000004;
42, 0 1 42 42. 0.999997 42.000004;
43, 0 1 43 43. 0.999997 43.000004;
44, 0 1 44 44. 0.999997 44.000004;
45, 0 1 45 45. 0.999997 45.000004;
46, 0 1 46 46. 0.999997 46.000004;
47, 0 1 47 47. 0.999997 47.000004;
48, 0 1 48 48. 0.999997 48.000004;
