0, 2 1 0 0. 1. 0.;
1, 2 1 1 1. 1. 1.;
2, 2 1 2 2. 1. 2.;
3, 2 1 3 3. 1. 3.;
4, 2 1 4 4. 1. 4.;
5, 2 1 5 5. 1. 5.;
6, 2 1 6 6. 1. 6.;
7, 2 1 7 7. 1. 7.;
8, 2 1 8 8. 1. 8.;
9, 2 1 9 9. 1. 9.;
10, 2 1 10 10. 1. 10.000001;
11, 2 1 11 11. 1. 11.000001;
12, 2 1 12 12. 1. 12.000001;
13, 2 1 13 13. 1. 13.000001;
14, 2 1 14 14. 1. 14.000001;
15, 2 1 15 15. 1. 15.000001;
16, 2 1 16 16. 1. 16.;
17, 2 1 17 17. 1. 17.;
18, 2 1 18 18. 1. 18.;
19, 2 1 19 19. 1. 19.000002;
20, 2 1 20 20. 1. 20.000002;
21, 2 1 21 21. 1. 21.000002;
22, 2 1 22 22. 1. 22.000002;
23, 2 1 23 23. 1. 23.000002;
24, 2 1 24 24. 1. 24.000002;
25, 2 1 25 25. 1. 25.000002;
26, 2 1 26 26. 1. 26.000002;
27, 2 1 27 27. 1. 27.000002;
28, 2 1 28 28. 1. 28.000002;
29, 2 1 29 29. 1. 29.000002;
30, 2 1 30 30. 1. 30.000002;
31, 2 1 31 31. 1. 31.000002;
32, 2 1 32 32. 1.000004 32.;
33, 2 1 33 33. 0.999997 33.;
34, 2 1 34 34. 0.999997 34.;
35, 2 1 35 35. 0.999997 35.;
36, 2 1 36 36. 0.999997 36.;
37, 2 1 37 37. 0.999997 37.000004;
38, 2 1 38 38. 0.999997 38.000004;
39, 2 1 39 39. 0.999997 39.000004;
40, 2 1 40 40. 0.999997 40.000004;
41, 2 1 41 41. 0.999997 41.000004;
42, 2 1 42 42. 0.999997 42.000004;
43, 2 1 43 43. 0.999997 43.000004;
44, 2 1 44 44. 0.999997 44.000004;
45, 2 1 45 45. 0.999997 45.000004;
46, 2 1 46 46. 0.999997 46.000004;
47, 2 1 47 47. 0.999997 47.000004;
48, 2 1 48 48. 0.999997 48.000004;
49, 2 1 49 49. 0.999997 49.000004;
50, 2 1 50 50. 0.999997 50.000004;
51, 2 1 51 51. 0.999997 51.000004;
52, 2 1 52 52. 0.999997 52.000004;
53, 2 1 53 53. 0.999997 53.000004;
54, 2 1 54 54. 1. 54.000004;
55, 2 1 55 55. 1. 55.000004;
56, 2 1 56 56. 1. 56.000004;
57, 2 1 57 57. 1. 57.000004;
58, 2 1 58 58. 1. 58.000004;
59, 2 1 59 59. 1. 59.000004;
60, 2 2 0 60. 1. 60.;
61, 2 2 1 60.993763 1.012599 61.000023;
62, 2 2 2 61.975285 1.025043 62.000015;
63, 2 2 3 62.943832 1.040546 63.000019;
64, 2 2 4 63.897617 1.056236 64.;
65, 2 2 5 64.837662 1.071261 65.000008;
66, 2 2 6 65.7649 1.085624 66.000008;
67, 2 2 7 66.680206 1.099385 67.000015;
68, 2 2 8 67.584351 1.112575 68.000015;
69, 2 2 9 68.478073 1.125194 69.000008;
70, 2 2 10 69.362038 1.137268 70.000008;
71, 2 2 11 70.23687 1.148852 71.000015;
72, 2 2 12 71.103104 1.159931 72.000008;
73, 2 2 13 71.961296 1.170532 73.000015;
74, 2 2 14 72.811905 1.180659 74.000008;
75, 2 2 15 73.655396 1.190363 75.;
